"population","pop_name","sample","vaccine_status","percentage"
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_4754_30DPI","control",2.91867828703994
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_5273_30DPI","vaccinated",0.750869910261889
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_6059_30DPI","vaccinated",3.16540948275862
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_7488_30DPI","control",1.3557184519587
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_7554_30DPI","control",3.56475716064757
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_9739_30DPI","control",1.9611669431164
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_9947_30DPI","vaccinated",0.919963201471941
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_1817_12wks","vaccinated",1.10326432879702
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_3273_12wks","control",0.720820626559468
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_4515_12wks","vaccinated",7.40806934453331
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_4754_12wks","control",8.95549961896404
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_5273_12wks","vaccinated",1.93955517060043
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_6059_12wks","vaccinated",10.2279243119266
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_7488_12wks","control",1.20743781695243
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_7554_12wks","control",11.0387227014131
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_9739_12wks","control",7.27694090382387
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_9947_12wks","vaccinated",0.374952235384027
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_1817_30DPI","vaccinated",1.65724463718733
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_3273_30DPI","control",3.02929268873541
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_4515_30DPI","vaccinated",3.14225861740621
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_4754_30DPI","control",1.47971659665183
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_5273_30DPI","vaccinated",2.47237653378915
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_6059_30DPI","vaccinated",2.55926724137931
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_7488_30DPI","control",1.21384093954442
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_7554_30DPI","control",3.05105853051059
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_9739_30DPI","control",2.07825153673529
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_9947_30DPI","vaccinated",1.3896286253813
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_1817_12wks","vaccinated",1.80038189919074
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_3273_12wks","control",0.756465602598123
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_4515_12wks","vaccinated",3.90062999865958
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_4754_12wks","control",1.12463339722421
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_5273_12wks","vaccinated",6.34763510378322
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_6059_12wks","vaccinated",3.41886467889908
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_7488_12wks","control",0.66811559204701
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_7554_12wks","control",2.00954303541934
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_9739_12wks","control",4.43800695249131
"Pop2","CD3+SLADQ+(negative all other markers)","Minipig_9947_12wks","vaccinated",4.20806266717616
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_1817_30DPI","vaccinated",6.41214280182762
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_3273_30DPI","control",5.59021989362547
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_4515_30DPI","vaccinated",5.90363740239954
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_4754_30DPI","control",7.18226848078249
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_5273_30DPI","vaccinated",3.6444661498077
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_6059_30DPI","vaccinated",10.4121767241379
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_7488_30DPI","control",6.65641995743675
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_7554_30DPI","control",13.0448318804483
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_9739_30DPI","control",10.1375743975022
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_9947_30DPI","vaccinated",7.4759114898562
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_1817_12wks","vaccinated",0.154578243869912
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_3273_12wks","control",0.265357043843321
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_4515_12wks","vaccinated",0.0402126803985523
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_4754_12wks","control",0.316375308870055
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_5273_12wks","vaccinated",0.136109134778977
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_6059_12wks","vaccinated",0.0860091743119266
"Pop20","CD3+CD4+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_7488_12wks","control",0.0563470981244466
